,Region,Residence.Type,Family.Composition,Population.Base,Sex,Age,Marital.Status,Student,Country.of.Birth,Health,Ethnic.Group,Religion,Economic.Activity,Occupation,Industry,Hours.worked.per.week,Approximated.Social.Grade
0,7,1,1,0,0,4,0,0,0,1,0,9,1,7,4,2,3
1,7,1,1,0,1,3,0,1,0,0,0,0,2,1,5,4,2
2,1,1,2,0,0,4,1,1,0,0,0,1,0,1,9,3,1
3,7,1,2,0,1,0,0,1,1,0,0,1,1,8,8,2,1
4,3,1,2,0,1,0,1,1,0,1,0,0,0,0,10,2,1
5,7,1,0,0,0,0,1,1,0,2,0,1,4,0,9,4,0
6,4,1,0,0,1,4,1,1,0,2,0,1,9,2,8,4,0
7,6,1,2,0,1,6,0,1,0,0,0,0,9,9,8,4,4
8,7,1,1,0,0,2,1,1,0,1,0,1,0,9,1,4,1
9,6,1,1,0,0,6,0,1,1,1,0,8,2,1,4,4,4
10,6,1,2,0,1,1,1,1,0,1,0,1,7,3,5,2,0
11,4,1,2,0,0,6,1,1,0,0,0,1,0,2,9,1,4
12,7,1,1,0,0,4,1,1,0,1,0,1,0,7,3,4,4
13,3,1,1,0,1,3,1,1,0,1,0,1,9,9,4,4,4
14,8,1,1,0,0,3,0,0,0,1,0,1,4,9,9,1,0
15,3,1,0,0,0,1,0,1,0,1,2,1,9,1,4,1,3
16,1,1,0,0,1,4,0,0,0,0,0,0,4,1,11,4,1
17,2,1,1,0,1,2,1,1,1,2,0,5,0,9,11,1,3
18,8,1,0,0,1,3,1,1,0,0,0,0,0,6,10,4,2
19,4,1,1,0,1,0,0,1,0,2,0,1,1,9,1,4,4
20,3,1,1,0,1,5,0,1,0,4,0,1,7,3,10,2,2
21,1,1,1,0,0,5,0,1,0,0,0,1,4,1,6,4,4
22,4,1,1,0,1,4,0,1,1,1,0,0,9,3,6,4,0
23,4,1,1,0,1,6,0,1,0,2,0,1,4,3,3,1,1
24,5,1,1,0,1,0,0,0,0,0,0,1,4,5,11,4,4
25,8,1,4,0,1,6,0,1,0,1,0,1,4,9,7,3,4
26,4,1,0,0,1,4,1,1,0,0,2,1,0,8,11,4,2
27,6,1,1,0,1,0,0,1,0,2,0,0,9,9,8,4,4
28,2,1,2,0,0,0,0,1,0,1,0,1,9,5,10,4,4
29,7,1,0,0,0,0,0,0,0,1,0,5,0,9,10,3,3
30,1,1,3,0,0,3,0,1,1,0,0,1,1,2,3,4,1
31,8,1,1,0,1,6,0,1,0,1,2,1,0,9,9,2,4
32,6,0,0,0,0,0,0,0,0,1,0,1,0,1,5,4,0
33,9,1,1,0,1,0,0,1,0,0,2,1,5,9,4,4,1
34,6,1,6,0,1,0,3,1,0,2,2,1,5,2,1,4,4
35,0,1,0,0,1,1,0,1,1,2,3,1,9,5,9,2,1
36,7,1,1,0,0,7,1,1,1,0,0,3,5,7,9,4,1
37,2,1,1,0,0,3,0,0,0,0,2,0,0,6,11,4,4
38,3,1,1,0,1,3,0,1,0,1,0,1,0,3,3,0,2
39,5,1,1,0,0,1,2,1,0,0,0,1,0,5,1,4,2
40,7,1,1,0,0,3,1,1,0,1,0,1,3,2,11,4,3
41,2,1,1,0,1,2,1,1,0,1,0,1,2,3,9,4,3
42,5,1,1,0,1,7,0,1,0,0,0,1,4,4,1,4,4
43,7,1,1,0,1,1,1,1,0,1,1,0,1,5,8,4,4
44,6,1,1,0,0,3,1,1,1,0,0,1,4,9,10,4,1
45,2,1,6,0,0,0,0,1,0,0,0,8,0,1,5,4,1
46,7,1,0,0,1,7,0,0,1,0,0,1,8,8,12,4,1
47,6,1,1,0,0,4,1,1,0,1,0,0,0,4,6,4,3
48,8,1,1,0,1,1,1,1,0,1,0,8,9,5,0,2,1
49,7,1,2,0,0,5,1,1,0,1,0,1,9,2,9,2,4
50,3,1,2,0,0,0,1,1,0,1,0,1,4,8,12,4,3
51,8,1,1,0,0,1,1,1,0,0,0,1,0,1,3,4,1
52,0,1,0,0,1,0,1,1,0,0,0,1,0,8,5,2,1
53,6,1,1,0,1,3,0,1,0,1,0,0,4,1,7,1,4
54,5,1,2,0,1,2,0,1,0,0,2,0,0,8,7,4,0
55,5,1,1,0,0,0,1,1,0,1,0,1,2,4,4,4,3
56,0,1,2,0,1,3,0,1,0,0,0,1,9,3,3,4,1
57,5,1,5,0,0,0,1,1,0,0,0,0,0,9,9,2,1
58,3,1,1,0,0,5,1,1,1,2,0,1,0,8,9,2,3
59,3,1,2,0,0,2,3,1,0,1,0,1,9,7,8,4,4
60,1,1,0,0,1,6,0,1,0,3,0,1,7,3,7,1,4
61,5,1,1,0,0,2,0,0,0,1,0,0,0,9,7,1,3
62,8,1,4,0,1,6,1,1,0,1,0,1,4,2,3,2,3
63,4,1,1,0,0,5,1,1,0,0,0,4,6,4,5,4,0
64,2,1,1,0,0,4,1,0,2,1,0,8,0,2,5,2,3
65,8,0,1,0,0,2,2,0,0,0,2,1,0,9,9,4,2
66,8,1,6,0,0,3,1,1,1,0,2,1,0,5,9,0,3
67,7,1,2,0,1,7,3,1,0,0,5,0,4,9,12,2,1
68,7,1,0,0,1,0,0,1,0,0,0,3,9,7,3,0,1
69,1,1,1,0,1,6,0,1,0,0,0,5,0,3,1,3,3
70,0,1,1,0,0,3,1,1,0,1,0,1,9,8,9,2,1
71,8,1,1,0,1,3,0,1,0,0,0,1,9,4,4,4,4
72,4,1,1,0,0,4,0,1,0,0,0,3,4,0,9,2,3
73,0,1,1,0,0,3,3,0,0,1,0,1,0,0,3,0,2
74,6,1,0,0,1,0,1,0,0,2,0,1,4,2,3,2,4
75,6,1,1,0,1,1,4,1,0,0,0,1,9,6,0,2,1
76,2,1,4,0,1,4,0,0,0,4,0,8,4,0,9,2,1
77,6,1,2,0,1,6,1,1,1,2,0,1,0,0,9,4,1
78,4,1,1,0,0,1,1,1,0,1,0,1,0,1,10,4,0
79,5,1,0,0,0,1,0,1,0,1,0,1,0,9,11,3,3
