,,0
DayOfWeek,isFraud,0.005585241422664958
CardType,isFraud,0.006649096931743998
TransAmtDisc,isFraud,0.017263473488237143
DayOfWeek,CardType,0.017287652022534395
Hour,isFraud,0.018907613820450205
DayOfWeek,CardCategory,0.023138857322469113
DayOfWeek,Region,0.025024782997654683
CardType,EmailDomain,0.026136995575328222
EmailDomain,isFraud,0.026789816001353998
Hour,CardType,0.027273386687299016
CardType,DaysSinceLastTrans,0.029352740636862593
Hour,CardCategory,0.02952199037694335
DayOfWeek,DaysSinceLastTrans,0.03266519983558597
DayOfWeek,Product,0.03268937836988322
DayOfWeek,EmailDomain,0.03670301506322687
DaysSinceLastTrans,isFraud,0.037089871611982884
TransAmtDisc,CardType,0.03788776324379216
Region,isFraud,0.03924176116443821
CardCategory,isFraud,0.04323121932348461
TransAmtDisc,DayOfWeek,0.04615682197345197
Hour,EmailDomain,0.05125849271017191
CardType,Region,0.05447423777170628
Product,CardType,0.054933629923354044
Hour,Product,0.058415338862158175
Product,isFraud,0.06366208080466162
CardCategory,Region,0.06637007664595372
Hour,DaysSinceLastTrans,0.06789332430668053
TransAmtDisc,Hour,0.06895717981575956
EmailDomain,DaysSinceLastTrans,0.07558209821320631
DayOfWeek,Hour,0.07930559249498295
Hour,Region,0.08958146957131459
TransAmtDisc,DaysSinceLastTrans,0.09303899997582146
CardType,CardCategory,0.09320824971590222
TransAmtDisc,EmailDomain,0.1006552382794555
CardCategory,EmailDomain,0.1169515703958026
Region,DaysSinceLastTrans,0.13170047631712564
EmailDomain,Region,0.13544814913319955
TransAmtDisc,CardCategory,0.13958267849802944
CardCategory,DaysSinceLastTrans,0.15210715926400542
TransAmtDisc,Region,0.1571846514664281
Product,EmailDomain,0.16158514470852778
Product,CardCategory,0.180686186803356
TransAmtDisc,Product,0.21388331439348146
Product,DaysSinceLastTrans,0.23922241833700042
Product,Region,0.33349452356198167
