,TransAmtDisc,DayOfWeek,Hour,Product,CardType,CardCategory,EmailDomain,Region,DaysSinceLastTrans,isFraud
0,4,4,7,0,2,1,9,0,2,0
1,2,1,1,4,3,0,3,0,3,0
2,4,5,21,4,3,1,3,0,2,0
3,1,3,7,4,3,1,3,2,0,0
4,3,4,9,0,2,1,3,0,2,0
5,4,5,23,4,3,1,9,0,0,0
6,2,3,22,3,3,1,0,4,3,0
7,1,1,4,4,2,0,9,0,0,0
8,3,2,1,4,3,1,9,1,0,0
9,1,0,23,4,3,0,3,0,0,0
10,3,0,21,4,3,1,9,5,0,0
11,0,3,8,2,3,1,3,0,3,0
12,4,2,23,4,2,1,1,0,0,0
13,3,5,19,0,3,1,3,0,3,0
14,1,5,2,4,3,1,3,1,0,0
15,3,1,7,4,3,1,4,0,3,0
16,2,4,12,4,2,1,3,0,3,0
17,4,0,20,0,3,1,3,0,0,0
18,1,0,7,4,2,1,8,0,0,0
19,3,2,8,4,3,1,9,3,0,0
20,2,4,5,4,1,0,0,5,3,0
21,1,2,1,4,3,1,9,1,0,0
22,2,3,5,4,2,1,0,0,0,0
23,0,4,20,4,3,1,3,0,0,0
24,1,6,22,4,2,1,1,3,3,0
25,2,0,5,0,2,1,9,1,0,0
26,2,6,19,4,3,1,4,0,0,0
27,2,1,21,4,3,0,9,0,0,0
28,3,4,4,4,3,1,2,3,0,0
29,3,0,23,4,3,1,9,0,0,0
30,2,2,7,1,3,1,4,1,3,0
31,4,5,22,4,3,1,9,0,2,0
32,2,2,3,4,2,1,1,5,3,0
33,3,1,9,4,3,1,7,3,3,0
34,1,6,8,4,3,1,1,0,3,0
35,0,6,20,4,2,1,1,0,0,0
36,2,0,8,4,3,0,3,5,3,1
37,4,0,17,4,3,1,9,1,3,0
38,0,1,21,4,3,1,3,0,3,0
39,4,0,9,4,3,1,9,3,0,0
40,4,6,6,4,3,1,9,0,0,0
41,4,1,10,1,3,1,3,0,3,0
42,0,6,6,4,3,1,9,0,2,0
43,4,1,2,4,3,0,3,0,2,0
44,3,4,8,4,3,0,4,4,0,0
45,2,5,4,0,3,1,6,0,3,0
46,1,3,9,4,2,1,3,0,3,1
47,4,4,18,2,3,0,3,5,0,1
48,4,4,13,4,2,1,3,3,2,0
49,3,6,10,4,3,1,9,2,0,0
50,4,2,20,4,3,1,0,3,0,0
51,3,0,3,4,2,1,3,2,0,0
52,1,3,23,2,2,0,3,1,2,0
53,1,2,5,4,3,1,0,1,0,0
54,1,2,21,4,3,1,2,5,3,0
55,2,5,21,4,3,0,7,1,3,1
56,4,1,22,4,3,1,0,2,0,0
57,3,3,2,4,3,0,3,1,3,0
58,0,1,20,4,2,0,3,0,3,0
